6react,loose,yes,1,20,4,1,16.68,0,0.67
6react,loose,yes,10,20,4,10,43.40,0,0.71
6react,loose,yes,100,20,4,95,39.67,0,0.77
8react,default,yes,1,2,0,1,23.47,0,1.53
8react,default,yes,10,2,0,10,26.57,0,2.33
8react,default,yes,100,2,0,100,53.25,0,9.00
8react,loose,yes,1,2,0,1,25.81,0,8.53
8react,loose,yes,10,2,0,9,28.47,0,27.20
8react,loose,yes,100,2,0,100,129.50,0,156.43
8react,default,yes,1,10,0,1,26.49,0,4.53
8react,default,yes,10,10,0,10,29.57,0,5.98
8react,default,yes,100,10,0,100,89.07,0,10.03
8react,loose,yes,1,10,0,1,30.00,0,48.92
8react,loose,yes,10,10,0,10,32.60,0,95.90
8react,loose,yes,100,10,0,100,116.93,0,241.81
8react,default,yes,1,20,0,1,32.27,0,16.36
8react,default,yes,10,20,0,10,36.60,0,20.82
8react,default,yes,100,20,0,100,66.28,0,24.79
8react,loose,yes,1,20,0,1,50.94,0,107.23
8react,loose,yes,10,20,0,10,49.70,0,198.88
8react,loose,yes,100,20,0,98,100.60,0,405.60
8react,default,yes,1,2,2,1,23.29,0,2.25
8react,default,yes,10,2,2,10,33.73,0,5.39
8react,default,yes,100,2,2,100,54.59,0,16.92
8react,loose,yes,1,2,2,1,25.03,0,44.24
8react,loose,yes,10,2,2,10,32.94,0,93.46
8react,loose,yes,100,2,2,100,204.84,0,443.95
8react,default,yes,1,10,2,1,27.54,0,7.14
8react,default,yes,10,10,2,10,30.11,0,11.28
8react,default,yes,100,10,2,100,75.97,0,29.24
8react,loose,yes,1,10,2,1,30.54,0,69.17
8react,loose,yes,10,10,2,10,39.46,0,141.17
8react,loose,yes,100,10,2,100,221.49,0,604.19
8react,default,yes,1,20,2,1,36.65,0,25.35
8react,default,yes,10,20,2,10,42.59,0,26.29
8react,default,yes,100,20,2,100,156.59,0,56.10
8react,loose,yes,1,20,2,1,40.55,0,211.39
8react,loose,yes,10,20,2,10,74.57,0,330.94
8react,loose,yes,100,20,2,96,178.94,0,691.09
8react,default,yes,1,2,4,1,25.39,0,2.90
8react,default,yes,10,2,4,10,28.16,0,7.48
8react,default,yes,100,2,4,100,94.28,0,27.61
8react,loose,yes,1,2,4,1,26.47,0,22.02
8react,loose,yes,10,2,4,9,31.79,0,100.61
8react,loose,yes,100,2,4,96,92.76,0,484.68
8react,default,yes,1,10,4,1,31.66,0,10.92
8react,default,yes,10,10,4,10,32.65,0,19.56
8react,default,yes,100,10,4,100,159.49,0,33.58
8react,loose,yes,1,10,4,1,35.91,0,63.69
8react,loose,yes,10,10,4,10,49.70,0,186.96
8react,loose,yes,100,10,4,100,176.47,0,546.50
8react,default,yes,1,20,4,1,41.36,0,30.42
8react,default,yes,10,20,4,10,42.37,0,32.08
8react,default,yes,100,20,4,100,83.67,0,62.83
8react,loose,yes,1,20,4,1,50.46,0,145.18
8react,loose,yes,10,20,4,10,69.62,0,403.64
8react,loose,yes,100,20,4,90,227.05,0,794.66
