2react,default,yes,1,2,0,1,18.71,0,1.11
2react,default,yes,10,2,0,1,18.82,0,1.12
2react,default,yes,100,2,0,1,21.31,0,1.15
2react,loose,yes,1,2,0,1,18.86,0,1.16
2react,loose,yes,10,2,0,10,19.92,0,1.07
2react,loose,yes,100,2,0,100,24.75,0,1.15
2react,default,yes,1,10,0,1,19.17,0,1.18
2react,default,yes,10,10,0,1,19.54,0,1.10
2react,default,yes,100,10,0,1,21.76,0,1.20
2react,loose,yes,1,10,0,1,19.73,0,1.18
2react,loose,yes,10,10,0,10,18.00,0,1.20
2react,loose,yes,100,10,0,99,26.75,0,1.16
2react,default,yes,1,20,0,1,19.98,0,1.23
2react,default,yes,10,20,0,1,21.33,0,1.22
2react,default,yes,100,20,0,1,23.43,0,1.24
2react,loose,yes,1,20,0,1,19.60,0,1.17
2react,loose,yes,10,20,0,9,20.51,0,1.18
2react,loose,yes,100,20,0,100,33.67,0,1.19
2react,default,yes,1,2,2,1,19.52,0,1.21
2react,default,yes,10,2,2,1,19.53,0,1.20
2react,default,yes,100,2,2,1,21.89,0,1.14
2react,loose,yes,1,2,2,1,19.51,0,1.21
2react,loose,yes,10,2,2,6,19.41,0,1.18
2react,loose,yes,100,2,2,71,23.94,0,1.17
2react,default,yes,1,10,2,1,19.69,0,1.16
2react,default,yes,10,10,2,1,20.13,0,1.17
2react,default,yes,100,10,2,1,22.46,0,1.09
2react,loose,yes,1,10,2,1,20.09,0,1.13
2react,loose,yes,10,10,2,10,20.32,0,1.11
2react,loose,yes,100,10,2,90,24.70,0,1.15
2react,default,yes,1,20,2,1,19.81,0,1.23
2react,default,yes,10,20,2,1,20.40,0,1.16
2react,default,yes,100,20,2,1,22.09,0,1.12
2react,loose,yes,1,20,2,1,20.15,0,1.14
2react,loose,yes,10,20,2,4,17.99,0,1.20
2react,loose,yes,100,20,2,76,25.49,0,1.21
2react,default,yes,1,2,4,1,19.23,0,1.20
2react,default,yes,10,2,4,1,19.41,0,1.06
2react,default,yes,100,2,4,1,21.35,0,1.08
2react,loose,yes,1,2,4,0,19.11,0,1.16
2react,loose,yes,10,2,4,6,19.88,0,1.15
